sessions_ttl,clicks_avg,cancellations_ttl,flights_booked_ttl,hotels_booked_ttl,nightsPerTrip_avg,lead_time_flight_days_avg,lead_time_flight_days_std,business_weekday_rate,hotel_discount_proportion_avg,hotel_discount_amount_avg,winter_escape_rate,recency_days_flight,unique_destinations_count,winter_travel_rate,summer_travel_rate,hotel_price_avg,tropics_rate,trips_per_active_month,revenue_total_user,total_discount_savings,climate_segment_mode_kalt_reise,climate_segment_mode_klimaneutral,climate_segment_mode_tropen_reise,climate_segment_mode_warm_reise,distance_category_mode_global,distance_category_mode_lokal,distance_category_mode_regional,segment_rule,user_id
8,31.5,1,2.0,2.0,2.0,7.5,3.5355339059327378,0.5,0.0,0.0,0.0,489.0,2.0,0.5,0.0,112.0,0.0,1.0,814.43,0.0,True,False,False,False,False,True,False,None,174997
9,14.11111111111111,0,2.0,3.0,4.333333333333333,5.5,2.1213203435596424,0.0,0.3333333333333333,0.15,0.0,430.0,2.0,0.0,0.0,139.0,0.0,1.0,1526.25,0.0,True,False,False,False,False,False,True,None,175032
8,19.125,0,3.0,3.0,3.333333333333333,5.333333333333333,1.1547005383792517,0.3333333333333333,0.3333333333333333,0.15,0.0,469.0,2.0,0.3333333333333333,0.0,162.33333333333334,0.0,1.0,1526.4299999999998,80.4045,True,False,False,False,False,False,True,VIP,181157
8,18.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,182191
8,16.0,0,3.0,3.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,492.0,3.0,0.6666666666666666,0.0,217.33333333333331,0.0,1.5,1894.57,0.0,True,False,False,False,False,True,False,None,187212
8,11.625,0,1.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,434.0,1.0,0.0,0.0,180.5,0.0,1.0,1605.31,0.0,True,False,False,False,False,False,True,None,189676
9,20.666666666666668,0,5.0,5.0,2.0,7.2,1.4832396974191326,0.8,0.0,0.0,0.0,369.0,4.0,0.4,0.2,169.2,0.2,1.0,2927.0,0.0,True,False,False,False,False,False,True,Frequent Traveler,190866
8,28.125,0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,442.0,1.0,0.0,0.0,160.0,0.0,1.0,554.29,0.0,False,True,False,False,False,True,False,None,195192
8,36.5,1,5.0,5.0,3.0,8.0,2.23606797749979,0.4,0.0,0.0,0.0,405.0,3.0,0.2,0.2,153.8,0.2,1.25,3119.58,26.758,True,False,False,False,False,False,True,Frequent Traveler,204943
8,54.875,2,2.0,1.0,4.0,7.0,1.4142135623730951,0.5,0.0,0.0,0.0,362.0,2.0,0.0,0.5,71.0,0.0,1.0,559.47,0.0,True,False,False,False,False,True,False,None,204997
9,14.88888888888889,0,3.0,3.0,4.666666666666667,6.0,1.7320508075688772,1.0,0.0,0.0,0.0,432.0,2.0,0.3333333333333333,0.0,249.33333333333331,0.0,1.0,3496.35,27.6525,False,False,False,True,False,False,True,VIP,205044
8,19.5,0,4.0,3.0,3.0,5.5,2.081665999466133,0.5,0.0,0.0,0.0,433.0,4.0,0.25,0.0,113.33333333333331,0.0,1.0,1386.59,21.818,False,True,False,False,False,True,False,None,206011
8,15.625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,216796
9,6.555555555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,217114
8,13.25,0,1.0,2.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,530.0,1.0,1.0,0.0,236.5,0.0,1.0,1012.57,0.0,True,False,False,False,False,False,True,None,217136
9,35.111111111111114,1,3.0,2.0,3.5,5.0,1.0,0.6666666666666666,0.0,0.0,0.0,399.0,3.0,0.3333333333333333,0.3333333333333333,140.0,0.3333333333333333,1.0,1813.42,0.0,False,True,False,False,False,True,False,None,220725
8,12.75,0,2.0,1.0,1.0,8.0,0.0,0.5,0.0,0.0,0.0,422.0,2.0,0.5,0.0,231.0,0.0,1.0,1128.61,0.0,True,False,False,False,False,True,False,None,224996
8,14.25,0,3.0,3.0,1.6666666666666667,7.0,1.0,1.0,0.0,0.0,0.0,376.0,3.0,0.0,0.3333333333333333,253.0,0.0,1.5,1648.21,5.609000000000001,False,True,False,False,False,True,False,None,226367
9,12.88888888888889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,228195
8,15.75,0,1.0,2.0,6.5,5.0,0.0,1.0,0.0,0.0,0.0,413.0,1.0,0.0,0.0,94.0,0.0,1.0,697.21,0.0,True,False,False,False,True,False,False,None,228872
8,18.0,1,2.0,2.0,1.5,8.5,6.363961030678928,0.0,0.0,0.0,0.0,415.0,2.0,0.0,0.0,149.5,0.0,1.0,1360.63,0.0,True,False,False,False,False,True,False,None,229009
8,16.125,0,4.0,4.0,1.75,7.25,3.304037933599835,0.0,0.0,0.0,0.25,352.0,3.0,0.5,0.5,209.25,0.25,1.0,2385.11,0.0,True,False,False,False,False,False,True,None,229330
8,12.5,0,1.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,0.0,0.0,213.0,0.0,1.0,450.1,0.0,True,False,False,False,False,False,True,None,232647
8,18.875,0,1.0,2.0,1.5,8.0,0.0,1.0,0.5,0.1,0.0,488.0,1.0,0.0,0.0,141.5,0.0,1.0,925.02,0.0,False,True,False,False,False,True,False,None,249521
8,14.625,0,5.0,4.0,2.75,7.4,1.1401754250991378,0.6,0.0,0.0,0.0,362.0,3.0,0.4,0.2,132.75,0.0,1.0,2207.55,60.915,True,False,False,False,False,False,True,Frequent Traveler,252835
8,20.875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Dreamer,258451
8,12.25,0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,528.0,1.0,1.0,0.0,100.0,0.0,1.0,495.69,0.0,True,False,False,False,False,False,True,None,276512
8,19.75,0,2.0,2.0,1.0,7.0,4.242640687119285,0.5,0.5,0.15,0.0,363.0,2.0,0.0,0.5,131.5,0.0,1.0,947.72,0.0,True,False,False,False,False,True,False,None,281952
8,14.25,0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,498.0,1.0,0.0,0.0,360.5,0.0,1.0,1174.27,45.327,True,False,False,False,True,False,False,None,283325
9,21.11111111111111,0,7.0,6.0,2.5,6.142857142857143,1.3451854182690983,0.4285714285714285,0.0,0.0,0.0,362.0,7.0,0.2857142857142857,0.2857142857142857,240.0,0.0,1.1666666666666667,6236.110000000001,0.0,True,False,False,False,False,False,True,Frequent Traveler,290123
8,25.875,0,4.0,5.0,5.2,5.0,1.4142135623730951,0.25,0.2,0.05,0.0,367.0,4.0,0.25,0.25,106.0,0.0,1.3333333333333333,2190.7200000000003,0.0,False,True,False,False,False,True,False,None,297546
8,12.25,0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,468.0,1.0,0.0,0.0,0.0,0.0,1.0,712.42,0.0,True,False,False,False,False,False,True,None,298253
9,20.77777777777778,0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,539.0,1.0,1.0,0.0,71.0,1.0,1.0,263.38,0.0,False,False,True,False,False,True,False,Winter Escaper,299476
8,11.125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,306165
8,41.125,1,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,461.0,1.0,0.0,0.0,370.0,0.0,1.0,420.16,0.0,False,True,False,False,False,True,False,None,306819
8,9.5,0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,366.0,1.0,0.0,1.0,299.0,0.0,1.0,706.1,0.0,True,False,False,False,False,False,True,None,312488
8,43.875,1,3.0,4.0,3.75,5.666666666666667,1.1547005383792517,0.6666666666666666,0.0,0.0,0.3333333333333333,459.0,3.0,0.6666666666666666,0.0,180.75,0.3333333333333333,1.0,1879.84,0.0,True,False,False,False,False,False,True,None,313724
8,17.375,0,4.0,4.0,3.0,7.25,2.5,0.25,0.25,0.05,0.0,446.0,4.0,0.5,0.0,322.75,0.25,1.0,3030.8900000000003,0.0,False,False,False,True,False,False,True,VIP,316527
8,16.625,0,4.0,4.0,1.5,8.0,0.8164965809277263,0.75,0.25,0.05,0.0,362.0,4.0,0.25,0.5,168.25,0.0,1.0,1911.74,0.0,True,False,False,False,False,False,True,None,317688
8,10.25,0,1.0,1.0,7.0,6.0,0.0,1.0,0.0,0.0,1.0,537.0,1.0,1.0,0.0,189.0,1.0,1.0,362.04,0.0,False,False,True,False,False,True,False,Winter Escaper,322867
8,10.75,0,2.0,2.0,4.5,9.5,0.7071067811865476,1.0,0.0,0.0,0.0,475.0,1.0,0.5,0.0,273.5,0.0,1.0,646.74,0.0,False,True,False,False,False,True,False,None,324191
8,47.875,1,2.0,2.0,4.5,8.0,1.4142135623730951,0.0,0.5,0.15,0.0,416.0,2.0,0.5,0.0,155.0,0.0,1.0,2513.95,0.0,True,False,False,False,False,False,True,None,328590
8,46.875,1,0.0,2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.5,0.0,0.0,259.0,0.0,False,False,False,False,False,False,False,None,330764
8,16.625,0,3.0,3.0,2.0,5.333333333333333,1.1547005383792517,0.6666666666666666,0.0,0.0,0.0,377.0,3.0,0.3333333333333333,0.3333333333333333,138.0,0.3333333333333333,1.0,1275.61,0.0,True,False,False,False,False,False,True,None,330893
8,24.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Dreamer,331039
8,14.875,0,3.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,472.0,3.0,0.3333333333333333,0.0,169.0,0.0,1.5,1265.17,8.7225,False,True,False,False,False,True,False,None,334787
8,10.375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,337227
8,17.125,0,2.0,2.0,1.5,7.0,4.242640687119285,0.5,0.5,0.2,0.0,430.0,2.0,0.5,0.0,63.0,0.0,1.0,1107.69,0.0,True,False,False,False,False,False,True,None,338086
8,11.0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,237.0,0.0,False,False,False,False,False,False,False,None,340166
8,15.25,0,2.0,1.0,3.0,170.5,234.0523445727472,1.0,0.0,0.0,0.0,26.0,2.0,0.5,0.5,116.0,0.5,1.0,5666.62,1021.88,True,False,False,False,True,False,False,VIP,343928
9,18.0,0,5.0,4.0,2.25,5.6,2.073644135332772,0.0,0.0,0.0,0.0,385.0,4.0,0.2,0.4,226.75,0.2,1.25,5140.69,0.0,False,True,False,False,False,True,False,Frequent Traveler,347778
8,15.625,0,3.0,4.0,2.25,5.333333333333333,1.1547005383792517,0.6666666666666666,0.0,0.0,0.0,417.0,3.0,0.6666666666666666,0.0,259.0,0.0,1.0,2410.62,0.0,False,False,False,True,False,False,True,None,348817
8,14.375,0,1.0,2.0,5.5,5.0,0.0,1.0,0.5,0.1,0.0,475.0,1.0,0.0,0.0,235.0,0.0,1.0,696.36,0.0,True,False,False,False,False,False,True,None,349132
8,36.875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Dreamer,350648
8,10.5,0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,482.0,1.0,0.0,0.0,136.0,0.0,1.0,544.4,0.0,False,True,False,False,False,True,False,None,353271
8,12.5,0,2.0,2.0,4.5,7.5,3.5355339059327378,1.0,0.0,0.0,0.0,370.0,2.0,0.5,0.5,124.0,0.0,1.0,709.37,0.0,True,False,False,False,False,True,False,None,353694
8,21.5,0,5.0,5.0,2.4,7.6,2.073644135332772,0.6,0.2,0.05,0.2,368.0,5.0,0.2,0.2,210.4,0.4,1.0,3009.88,29.104000000000003,True,False,False,False,False,False,True,Frequent Traveler,354050
8,14.5,0,2.0,1.0,2.0,10.5,3.5355339059327378,0.5,0.0,0.0,0.5,508.0,2.0,1.0,0.0,260.0,0.5,1.0,1425.01,0.0,True,False,False,False,False,False,True,None,354260
8,12.25,0,2.0,1.0,3.0,7.0,1.4142135623730951,0.0,0.0,0.0,0.0,485.0,2.0,0.5,0.0,97.0,0.0,1.0,1169.89,0.0,True,False,False,False,False,False,True,None,354311
8,12.5,0,1.0,1.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,529.0,1.0,1.0,0.0,127.0,0.0,1.0,587.54,0.0,True,False,False,False,False,False,True,None,354950
8,12.625,0,2.0,2.0,2.0,8.0,1.4142135623730951,0.0,0.0,0.0,0.0,493.0,2.0,0.5,0.0,97.5,0.0,1.0,978.81,0.0,False,True,False,False,False,True,False,None,356046
8,52.375,1,3.0,4.0,3.0,6.333333333333333,0.5773502691896257,0.3333333333333333,0.5,0.075,0.0,449.0,2.0,0.3333333333333333,0.0,131.75,0.0,1.0,2486.7,0.0,True,False,False,False,False,False,True,None,357737
8,39.75,1,2.0,2.0,1.5,8.0,1.4142135623730951,0.0,0.0,0.0,0.0,435.0,2.0,0.0,0.0,165.0,0.0,1.0,463.15,0.0,True,False,False,False,False,True,False,None,359072
8,15.75,0,4.0,2.0,2.0,76.25,135.85868884003455,0.0,0.0,0.0,0.0,98.0,4.0,0.5,0.0,338.5,0.25,1.0,5830.56,0.0,True,False,False,False,False,False,True,VIP,359080
8,15.875,0,2.0,2.0,1.5,6.5,2.1213203435596424,1.0,0.5,0.1,0.0,517.0,2.0,1.0,0.0,215.0,0.0,1.0,1214.33,0.0,False,False,False,True,True,False,False,None,359653
8,7.375,0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,540.0,1.0,1.0,0.0,165.0,0.0,1.0,558.9100000000001,0.0,True,False,False,False,False,False,True,None,361459
9,15.444444444444445,0,4.0,3.0,1.3333333333333333,7.75,1.5000000000000002,0.25,0.3333333333333333,0.05,0.0,443.0,4.0,0.5,0.0,79.66666666666667,0.0,1.0,1899.59,0.0,False,False,False,True,False,False,True,None,361759
8,31.0,1,2.0,2.0,3.0,8.5,4.949747468305833,0.5,0.0,0.0,0.0,389.0,2.0,0.5,0.5,97.0,0.0,1.0,930.71,48.484,True,False,False,False,False,True,False,None,363535
8,13.125,0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,444.0,1.0,0.0,0.0,0.0,0.0,1.0,199.47,0.0,False,True,False,False,False,True,False,None,371201
8,12.5,0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,413.0,2.0,0.0,0.0,204.0,0.0,1.0,1701.3000000000002,0.0,True,False,False,False,False,False,True,None,372970
9,13.11111111111111,0,1.0,1.0,12.0,223.0,0.0,0.0,0.0,0.0,0.0,157.0,1.0,1.0,0.0,51.0,0.0,1.0,7502.31,1862.8275,False,True,False,False,False,True,False,VIP,373489
8,42.25,1,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,280.0,0.0,False,False,False,False,False,False,False,None,374331
9,8.666666666666666,0,1.0,0.0,0.0,336.0,0.0,1.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,1.0,3966.19,0.0,False,True,False,False,False,True,False,VIP,374340
8,13.125,0,0.0,3.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.33333333333334,0.0,0.0,457.0,0.0,False,False,False,False,False,False,False,None,374341
8,5.125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,375160
8,17.75,0,3.0,3.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,362.0,3.0,0.0,0.3333333333333333,271.3333333333333,0.0,1.0,1846.16,135.878,True,False,False,False,False,False,True,VIP,375729
8,24.0,0,3.0,2.0,3.0,8.0,1.0,0.6666666666666666,0.0,0.0,0.0,446.0,3.0,0.3333333333333333,0.0,166.5,0.3333333333333333,1.0,1040.56,0.0,True,False,False,False,False,False,True,None,375751
8,12.75,0,1.0,2.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,467.0,1.0,0.0,0.0,127.5,1.0,1.0,622.24,0.0,False,False,True,False,False,True,False,Tropics Lover,376159
8,32.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Dreamer,377069
8,14.75,0,2.0,2.0,2.5,5.5,2.1213203435596424,0.0,0.0,0.0,0.0,479.0,2.0,0.5,0.0,113.5,0.5,1.0,1235.61,18.614,True,False,False,False,False,False,True,None,377411
8,17.0,0,2.0,5.0,8.8,4.5,3.5355339059327378,0.0,0.0,0.0,0.5,378.0,2.0,0.5,0.5,144.6,0.5,1.0,1432.63,21.689,False,True,False,False,False,True,False,None,378565
8,13.0,0,3.0,3.0,2.0,6.0,1.7320508075688772,0.3333333333333333,0.0,0.0,0.0,397.0,3.0,0.3333333333333333,0.3333333333333333,231.66666666666663,0.6666666666666666,1.0,1850.12,0.0,False,False,True,False,False,False,True,Tropics Lover,379543
8,14.25,0,3.0,3.0,2.333333333333333,9.333333333333334,0.5773502691896255,0.3333333333333333,0.0,0.0,0.0,388.0,3.0,0.3333333333333333,0.6666666666666666,265.0,0.0,1.5,1865.76,71.4225,True,False,False,False,False,False,True,VIP,380434
8,13.375,0,1.0,1.0,4.0,9.0,0.0,0.0,1.0,0.1,0.0,534.0,1.0,1.0,0.0,165.0,0.0,1.0,278.25,0.0,False,True,False,False,False,True,False,None,380436
8,15.25,0,3.0,3.0,4.666666666666667,7.666666666666667,2.309401076758504,1.0,0.3333333333333333,0.05,0.0,370.0,3.0,0.3333333333333333,0.3333333333333333,169.66666666666666,0.0,1.0,1004.62,0.0,False,True,False,False,False,True,False,None,380757
8,54.0,1,4.0,3.0,2.333333333333333,7.0,3.1622776601683795,0.5,0.0,0.0,0.0,361.0,4.0,0.25,0.25,226.0,0.0,1.0,2195.09,0.0,True,False,False,False,False,True,False,None,380949
8,12.125,0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,547.0,1.0,1.0,0.0,68.0,0.0,1.0,787.48,0.0,True,False,False,False,False,False,True,None,381259
8,30.625,1,1.0,3.0,10.333333333333334,6.0,0.0,1.0,0.0,0.0,0.0,377.0,1.0,0.0,1.0,156.0,0.0,1.0,792.87,0.0,True,False,False,False,False,False,True,None,381465
8,13.25,0,3.0,2.0,2.5,5.333333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,402.0,3.0,0.6666666666666666,0.3333333333333333,208.0,0.0,1.5,1489.04,0.0,False,True,False,False,False,True,False,None,382181
8,9.375,0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,538.0,1.0,1.0,0.0,156.0,1.0,1.0,384.63,0.0,False,False,True,False,False,True,False,Winter Escaper,382384
8,8.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,382533
8,8.0,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,268.0,0.0,False,False,False,False,False,False,False,None,386255
9,10.555555555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,386469
8,36.75,1,1.0,1.0,2.0,7.0,0.0,0.0,1.0,0.1,0.0,520.0,1.0,1.0,0.0,321.0,0.0,1.0,455.71,0.0,False,True,False,False,False,True,False,None,386914
8,10.875,0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,0.0,False,False,False,False,False,False,False,None,387282
8,10.875,0,1.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,533.0,1.0,1.0,0.0,188.66666666666663,0.0,1.0,997.26,0.0,True,False,False,False,False,False,True,None,387783
9,15.0,0,3.0,5.0,4.6,6.666666666666667,4.041451884327381,0.3333333333333333,0.2,0.1,0.0,413.0,3.0,0.0,0.0,165.6,0.0,1.5,2068.7,0.0,False,True,False,False,False,True,False,None,388328
9,12.444444444444445,0,3.0,2.0,2.0,7.333333333333333,2.886751345948129,0.0,0.0,0.0,0.3333333333333333,499.0,3.0,0.6666666666666666,0.0,171.0,0.3333333333333333,1.0,1646.09,107.8515,True,False,False,False,False,False,True,VIP,388947
8,55.5,1,4.0,4.0,1.75,5.75,3.8622100754188224,0.25,0.0,0.0,0.0,467.0,3.0,0.5,0.0,169.5,0.25,1.3333333333333333,2529.67,126.39,True,False,False,False,False,False,True,VIP,389434
8,18.25,0,2.0,3.0,1.3333333333333333,8.5,2.1213203435596424,0.5,0.0,0.0,0.0,466.0,2.0,0.5,0.0,173.0,0.0,1.0,1179.18,29.117000000000004,True,False,False,False,False,True,False,None,389662
8,19.5,0,3.0,3.0,2.0,5.666666666666667,4.618802153517007,0.6666666666666666,0.0,0.0,0.0,406.0,3.0,0.0,0.3333333333333333,186.66666666666663,0.3333333333333333,1.5,3735.69,87.05900000000001,False,False,False,True,True,False,False,VIP,389759
8,16.5,0,3.0,3.0,3.6666666666666665,7.0,1.0,0.3333333333333333,0.0,0.0,0.0,355.0,3.0,0.0,0.6666666666666666,134.0,0.0,1.5,1501.02,0.0,True,False,False,False,False,True,False,None,390811
8,9.75,0,1.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,1.0,0.0,1.0,106.0,0.0,1.0,499.98,19.699,True,False,False,False,True,False,False,None,392453
8,8.875,0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,228.0,0.0,False,False,False,False,False,False,False,None,395202
8,12.625,0,3.0,3.0,1.0,9.333333333333334,2.8867513459481287,0.3333333333333333,0.0,0.0,0.0,395.0,3.0,0.0,0.3333333333333333,345.3333333333333,0.0,1.0,3050.92,237.022,True,False,False,False,False,False,True,VIP,395981
8,13.625,0,4.0,4.0,1.0,7.5,3.0,0.75,0.0,0.0,0.0,446.0,4.0,0.5,0.0,174.75,0.25,1.3333333333333333,1523.85,0.0,False,True,False,False,False,True,False,None,396552
8,19.375,0,2.0,4.0,3.75,6.5,2.1213203435596424,0.5,0.0,0.0,0.0,422.0,2.0,0.0,0.0,196.0,0.0,1.0,1615.47,0.0,True,False,False,False,False,False,True,None,399137
8,15.125,0,2.0,1.0,2.0,6.5,0.7071067811865476,0.5,0.0,0.0,0.0,470.0,2.0,0.0,0.0,123.0,0.5,1.0,610.9,0.0,True,False,False,False,False,True,False,None,399218
8,15.75,0,4.0,4.0,2.25,6.25,0.9574271077563382,0.0,0.0,0.0,0.0,358.0,4.0,0.25,0.25,91.25,0.0,1.0,1726.2,0.0,False,True,False,False,False,True,False,None,399799
8,15.625,0,3.0,4.0,2.25,6.666666666666667,2.081665999466133,0.0,0.0,0.0,0.0,409.0,3.0,0.0,0.3333333333333333,270.5,0.0,1.5,1728.89,20.732,True,False,False,False,False,False,True,None,400582
