trip_id,hotel_name,nights,rooms,check_in_time,check_out_time,hotel_per_room_usd,stay_duration_calc,stay_calc
382384-d5414bdf6f0a419e9baa1b58269ae7f2,Extended Stay  - houston,0,1,2023-01-25 10:32:13.515,2023-01-25 11:00:00,156,0 days 00:27:46.485000,0
387783-65870a69863c442e98a6d964e379c5b0,Starwood  - dallas,0,1,2023-01-30 11:56:49.830,2023-01-30 11:00:00,149,-1 days +23:03:10.170000,-1
389434-cf10e38f0d464b81ace3f3be9f689833,Wyndham - hamilton,0,1,2023-04-06 09:42:33.345,2023-04-06 11:00:00,107,0 days 01:17:26.655000,0
389759-544226b624f24420a494d1622e24ba35,Hilton - jacksonville,0,1,2023-03-14 16:24:12.015,2023-03-15 11:00:00,244,0 days 18:35:47.985000,0
390811-055ed19d6ccc46c5b128c71963fd5ae3,Hilton - portland,0,1,2023-07-27 10:40:44.175,2023-07-27 11:00:00,109,0 days 00:19:15.825000,0
396552-77682720da3145a9bfc8adb005fc884e,Starwood  - los angeles,0,1,2023-02-01 13:12:23.850,2023-02-02 11:00:00,249,0 days 21:47:36.150000,0
399799-704c9b15453c493d94cd7812e64e7307,Banyan Tree  - san jose,0,1,2023-07-24 13:31:41.655,2023-07-25 11:00:00,136,0 days 21:28:18.345000,0
402332-49871b409ac64c18b8f1c28b1f09ab0e,Starwood  - los angeles,0,2,2023-05-27 15:44:14.100,2023-05-28 11:00:00,169,0 days 19:15:45.900000,0
403881-111d07d0b1014d358ae514300a09eb78,Marriott  - new york,0,1,2023-06-10 15:54:53.100,2023-06-11 11:00:00,182,0 days 19:05:06.900000,0
405305-c768542af7c84834b6f965a4a17f76fe,Marriott  - chicago,0,1,2023-02-09 12:43:18.750,2023-02-10 11:00:00,139,0 days 22:16:41.250000,0
406210-0cbb1e960d0746fb84e12017fad1cc96,Accor - las vegas,0,1,2023-07-12 21:37:45.615,2023-07-13 11:00:00,232,0 days 13:22:14.385000,0
407275-5b689ca007f94d018d628abb744836cf,Rosewood - new york,0,1,2023-02-13 09:09:06.435,2023-02-13 11:00:00,162,0 days 01:50:53.565000,0
407642-840bb4990abd4d81b5a8a6758b4b0a27,Radisson  - montreal,0,1,2023-07-12 17:43:29.595,2023-07-13 11:00:00,109,0 days 17:16:30.405000,0
408551-0f82efb84d494cf497051bbbd067054d,Marriott  - fresno,0,1,2023-02-09 12:28:42.105,2023-02-10 11:00:00,132,0 days 22:31:17.895000,0
413418-fe7663907d87489cb38b4d0f9f03ceeb,NH Hotel  - new york,0,2,2023-03-20 12:18:01.080,2023-03-21 11:00:00,38,0 days 22:41:58.920000,0
416319-ddacfc9d2d9943c1b652c01b2c593e95,Conrad  - boston,-1,1,2023-07-15 10:22:14.970,2023-07-14 11:00:00,70,-1 days +00:37:45.030000,-1
416580-6cb5a8b9e6f544a58a36983c1317f3b0,Radisson  - toronto,0,1,2023-03-30 16:28:52.185,2023-03-31 11:00:00,129,0 days 18:31:07.815000,0
418692-8807eff31195420d9661f4668aeb1965,Radisson  - milwaukee,0,3,2023-02-02 10:44:47.985,2023-02-02 11:00:00,123,0 days 00:15:12.015000,0
425966-cbf153184f414c2fa5912da44d14c5df,Aman Resorts - montreal,0,1,2023-03-02 19:31:36.075,2023-03-03 11:00:00,165,0 days 15:28:23.925000,0
427426-2fd6f4c419344bb7a95139430f82e40a,Hyatt - fresno,0,1,2023-02-27 13:37:54.300,2023-02-28 11:00:00,49,0 days 21:22:05.700000,0
431602-71f4488a6fe24ecd8cf9eb7986e5f85b,Hyatt - new york,0,1,2023-01-24 13:52:45.840,2023-01-25 11:00:00,209,0 days 21:07:14.160000,0
432941-d80b5b778b6440fc91bd6f81ec399e26,Marriott  - los angeles,0,3,2023-03-27 13:42:33.210,2023-03-28 11:00:00,108,0 days 21:17:26.790000,0
434623-3c6b1035aa984f42a36ed5b2c5bf53b1,Best Western - calgary,0,1,2023-04-22 15:46:55.920,2023-04-23 11:00:00,323,0 days 19:13:04.080000,0
435669-c42cd0c0fe144988967262e465defeb3,Choice Hotels - san diego,0,2,2023-01-18 22:11:59.685,2023-01-19 11:00:00,40,0 days 12:48:00.315000,0
436320-55eb5ab8054341e9ace4d70bcab10e3e,Choice Hotels - winnipeg,0,1,2023-03-03 14:19:02.280,2023-03-04 11:00:00,90,0 days 20:40:57.720000,0
437069-b782357d43d24eba9313b3f6950519ab,Marriott  - houston,0,1,2023-01-12 19:54:25.830,2023-01-13 11:00:00,88,0 days 15:05:34.170000,0
438189-4383f2dadb39429bb0539e1835f202ca,Extended Stay  - new york,0,2,2023-04-20 13:49:54.570,2023-04-21 11:00:00,296,0 days 21:10:05.430000,0
438406-33b7ae97d1e748f0951647b7fae6467f,Wyndham - new york,0,1,2023-03-29 13:58:03.945,2023-03-30 11:00:00,130,0 days 21:01:56.055000,0
438406-596a02fc7ce347a4b4ef1cc1de9e2c3e,Radisson  - new york,0,1,2023-02-24 17:58:03.945,2023-02-25 11:00:00,526,0 days 17:01:56.055000,0
442484-fa2322c4fb3745898ad44f17d03e6736,Extended Stay  - nashville,0,1,2023-07-06 14:20:27.195,2023-07-07 11:00:00,85,0 days 20:39:32.805000,0
442833-3cbd9e7ca974496daa01c38da35abfd8,Shangri-La - louisville,0,1,2023-03-30 12:17:40.245,2023-03-31 11:00:00,207,0 days 22:42:19.755000,0
444387-15011508ab0648f7b19ac9e87001baab,Aman Resorts - san antonio,0,1,2023-02-06 11:04:11.595,2023-02-06 11:00:00,82,-1 days +23:55:48.405000,-1
444387-dd4d056a865b4398bba0c5822922533c,Accor - montreal,0,1,2023-01-15 16:26:15.990,2023-01-16 11:00:00,86,0 days 18:33:44.010000,0
446124-32a521661c184738b2af994690e10e22,Banyan Tree  - jacksonville,0,1,2023-02-10 19:40:41.835,2023-02-11 11:00:00,317,0 days 15:19:18.165000,0
446473-11892e8cf325471e970f2af908865a0c,Four Seasons - chicago,0,1,2023-04-04 16:28:29.865,2023-04-05 11:00:00,286,0 days 18:31:30.135000,0
447737-c9908b0d914449a598372303bfb1352d,Hyatt - san diego,0,1,2023-03-18 17:34:48.675,2023-03-19 11:00:00,32,0 days 17:25:11.325000,0
448295-a5789d8b29d6404c827e79faab30c53c,Fairmont - los angeles,0,1,2023-03-30 18:54:49.770,2023-03-31 11:00:00,332,0 days 16:05:10.230000,0
449033-68392a0cbee5463c8c02dddded32cea5,Best Western - fresno,0,1,2023-01-09 17:38:04.695,2023-01-10 11:00:00,115,0 days 17:21:55.305000,0
449033-a61a5b6fc7544ea497468722b275d367,Best Western - chicago,0,1,2023-01-27 12:28:29.865,2023-01-28 11:00:00,53,0 days 22:31:30.135000,0
450193-d4bc6a39d5ee429fb3a529c10d9b2ff9,Aman Resorts - austin,0,1,2023-04-07 20:21:17.145,2023-04-08 11:00:00,143,0 days 14:38:42.855000,0
453143-2feeb17e3b7644f996ac8593961c4265,Hilton - edmonton,0,1,2023-05-24 18:48:39.870,2023-05-25 11:00:00,304,0 days 16:11:20.130000,0
454661-226de04b278641b99999d32fa2fc3f01,Fairmont - columbus,0,1,2023-04-26 09:23:13.650,2023-04-26 11:00:00,235,0 days 01:36:46.350000,0
456226-7b438ba3de8646918685770ef8cfed1b,Four Seasons - louisville,0,1,2023-01-27 11:35:46.905,2023-01-27 11:00:00,200,-1 days +23:24:13.095000,-1
458479-0212ba6136d34852879cf693af2a1d3c,Fairmont - san antonio,0,1,2023-07-03 11:08:12.975,2023-07-03 11:00:00,167,-1 days +23:51:47.025000,-1
458479-67dbe76fabad41dab746a738dd48ea60,NH Hotel  - toronto,0,1,2023-05-26 09:53:03.660,2023-05-26 11:00:00,72,0 days 01:06:56.340000,0
458919-34fd51b39840444f986fee91f5bdf4e9,Wyndham - toronto,0,1,2023-04-06 13:20:32.685,2023-04-07 11:00:00,138,0 days 21:39:27.315000,0
460072-7063a3a5e5f04387904b0dd5ef507881,Extended Stay  - new york,0,1,2023-06-21 11:13:57.315,2023-06-21 11:00:00,503,-1 days +23:46:02.685000,-1
462456-206d0493422b43509fa4b1c4b18b3938,Banyan Tree  - new york,0,1,2023-01-21 14:43:43.365,2023-01-22 11:00:00,84,0 days 20:16:16.635000,0
462456-402499ffd764481da7445f6edc15445e,Accor - montreal,0,1,2023-05-17 18:37:53.130,2023-05-18 11:00:00,131,0 days 16:22:06.870000,0
463652-7646b973e5654b4c9072f511af1e1fa5,Hyatt - oklahoma city,0,1,2023-04-23 15:54:10.395,2023-04-24 11:00:00,152,0 days 19:05:49.605000,0
463910-220344f5bda54b48a3021183c965e2dd,Marriott  - jacksonville,0,1,2023-03-24 14:35:09.240,2023-03-25 11:00:00,102,0 days 20:24:50.760000,0
463910-c4f433e4a0a04e09a5381b0cd13a0f75,Aman Resorts - austin,0,1,2023-01-29 10:45:02.430,2023-01-29 11:00:00,101,0 days 00:14:57.570000,0
465138-1ee9a11940c8437284caf6983bb606b8,Best Western - hamilton,0,1,2023-05-02 10:31:37.785,2023-05-02 11:00:00,206,0 days 00:28:22.215000,0
465138-7a346a6733de440f95ad3b8dd2ec9e6c,Four Seasons - new york,0,1,2023-01-13 11:44:22.110,2023-01-13 11:00:00,226,-1 days +23:15:37.890000,-1
466205-252447bd22b84ac7b29c332b304efea6,Marriott  - phoenix,0,1,2023-05-27 18:20:46.995,2023-05-28 11:00:00,151,0 days 16:39:13.005000,0
466723-74f4e79cac114a0885abe1e86ece97b1,Rosewood - seattle,0,1,2023-07-02 21:54:25.110,2023-07-03 11:00:00,361,0 days 13:05:34.890000,0
467809-39afbf13f77445b8b33488769537d892,Starwood  - jacksonville,0,1,2023-04-06 14:28:34.455,2023-04-07 11:00:00,108,0 days 20:31:25.545000,0
467892-05cd0b16a84e41e6b6723016b3bd221b,Hyatt - montreal,0,1,2023-01-31 09:40:43.905,2023-01-31 11:00:00,157,0 days 01:19:16.095000,0
469767-9530b119058549b5948829142f2ae4f2,Conrad  - san diego,0,2,2023-06-14 14:54:53.100,2023-06-15 11:00:00,239,0 days 20:05:06.900000,0
471186-766ad50cbeba4f4491a7cf7c0b925155,Extended Stay  - dallas,0,1,2023-03-05 17:30:05.490,2023-03-06 11:00:00,36,0 days 17:29:54.510000,0
471935-0faacd3bd4094937a97ee4cac0770bd5,Accor - los angeles,0,1,2023-01-31 11:25:37.425,2023-01-31 11:00:00,206,-1 days +23:34:22.575000,-1
472713-57c1b2f1f49c4636abb57c914969b467,NH Hotel  - indianapolis,0,1,2023-04-16 09:30:04.230,2023-04-16 11:00:00,307,0 days 01:29:55.770000,0
472966-778844a7de0d46bba12ce251406b403f,Fairmont - new york,0,1,2023-02-07 16:10:08.130,2023-02-08 11:00:00,107,0 days 18:49:51.870000,0
473712-f538fb0a91af431587b08242c2e98bc0,Banyan Tree  - oklahoma city,0,1,2023-03-07 10:23:34.575,2023-03-07 11:00:00,70,0 days 00:36:25.425000,0
474007-d652c2a72a844659885f7175147c38ec,Hyatt - louisville,0,1,2023-03-16 09:34:23.250,2023-03-16 11:00:00,146,0 days 01:25:36.750000,0
474384-afc75eb132ad4981b56f1a5fbde7944f,Marriott  - houston,0,1,2023-01-19 17:43:49.845,2023-01-20 11:00:00,111,0 days 17:16:10.155000,0
474546-5e089cc3da544ec6a8e139c2d67eaf08,Hilton - charlotte,0,4,2023-02-06 16:01:36.840,2023-02-07 11:00:00,167,0 days 18:58:23.160000,0
474951-1f09fecb579646da8456330d15f0133b,Radisson  - denver,0,1,2023-06-15 14:55:32.430,2023-06-16 11:00:00,145,0 days 20:04:27.570000,0
474951-ebbc91fac82743208296304150e41e48,Hilton - chicago,0,1,2023-05-20 14:44:35.700,2023-05-21 11:00:00,143,0 days 20:15:24.300000,0
476104-c5a21e4ce4554660975bba65ce6536fd,NH Hotel  - dallas,0,1,2023-03-26 20:54:37.935,2023-03-27 11:00:00,99,0 days 14:05:22.065000,0
476124-40d6570c30884e0cba1d5f501cf6663d,Hilton - jacksonville,0,1,2023-03-17 13:31:34.545,2023-03-18 11:00:00,131,0 days 21:28:25.455000,0
476270-dbd71b0107454db384ef6221231a62c5,Hilton - dallas,0,1,2023-02-18 15:19:14.340,2023-02-19 11:00:00,103,0 days 19:40:45.660000,0
476393-edac1f7645494c3286f6934ea3ec8205,Marriott  - new york,0,1,2023-05-11 18:05:46.995,2023-05-12 11:00:00,167,0 days 16:54:13.005000,0
476665-14fc9db196dd4bf5bab8c500f3a586fe,Shangri-La - new york,0,1,2023-03-17 10:59:27.555,2023-03-17 11:00:00,63,0 days 00:00:32.445000,0
476714-f7d36ece6b46409cbe363123d363bd40,Banyan Tree  - oklahoma city,0,2,2023-01-15 11:44:13.425,2023-01-15 11:00:00,294,-1 days +23:15:46.575000,-1
476956-36dd8c3e5c374357acf6db716b2d75a1,Rosewood - vancouver,0,1,2023-05-21 14:36:09.360,2023-05-22 11:00:00,113,0 days 20:23:50.640000,0
477730-3b4f83fc84ed4d7b903bf56b0f75f15a,Hilton - new york,0,1,2023-04-01 13:54:35.865,2023-04-02 11:00:00,422,0 days 21:05:24.135000,0
478003-4caf1d2df34f48178a3a8cfefd69a86e,Accor - calgary,0,1,2023-03-05 16:20:18.285,2023-03-06 11:00:00,97,0 days 18:39:41.715000,0
478146-be01e0ccd824410aa665d0bb7d85015c,Fairmont - toronto,0,1,2023-02-19 18:26:07.845,2023-02-20 11:00:00,194,0 days 16:33:52.155000,0
478291-cfede0aa7ff14201ac7c363442aee8ff,Aman Resorts - san diego,0,1,2023-06-18 22:54:16.560,2023-06-19 11:00:00,354,0 days 12:05:43.440000,0
479071-3ad3e4ee23b24e509a9219ca84868d09,Hilton - new york,0,1,2023-05-26 18:22:09.165,2023-05-27 11:00:00,99,0 days 16:37:50.835000,0
479254-624dc70ced284db6b444b8c643c2ba0c,Accor - hamilton,0,1,2023-05-16 11:43:29.595,2023-05-16 11:00:00,30,-1 days +23:16:30.405000,-1
480313-0fc214790def4bd9a5f2ce016cb6658a,Accor - phoenix,0,1,2023-05-14 14:41:54.915,2023-05-15 11:00:00,187,0 days 20:18:05.085000,0
481292-0d8d743c573142d7ab640562a08b28bc,Conrad  - baltimore,0,1,2023-03-31 21:53:38.400,2023-04-01 11:00:00,161,0 days 13:06:21.600000,0
481292-fb2b6ba330714c02a69666fe111c8bef,Radisson  - san francisco,0,1,2023-03-14 09:03:38.835,2023-03-14 11:00:00,291,0 days 01:56:21.165000,0
481554-aaca69aa731f43de91de98185e080624,Fairmont - columbus,0,1,2023-07-13 15:14:51.225,2023-07-14 11:00:00,91,0 days 19:45:08.775000,0
482548-06cfd4a56f2c4834a8ce47fa79fad5f9,Rosewood - dallas,0,1,2023-05-25 09:28:57.720,2023-05-25 11:00:00,224,0 days 01:31:02.280000,0
483928-35f13a176c394a1389bbb462c7eacae4,Starwood  - montreal,0,2,2023-04-21 18:40:43.905,2023-04-22 11:00:00,379,0 days 16:19:16.095000,0
483928-857d42155c744f57bd68453d2a35dd51,Banyan Tree  - fresno,0,1,2023-02-16 18:57:17.775,2023-02-17 11:00:00,43,0 days 16:02:42.225000,0
485544-c3b82a92dc28473ea4664898437ef811,Radisson  - toronto,0,4,2023-01-27 19:55:41.070,2023-01-28 11:00:00,131,0 days 15:04:18.930000,0
485658-e6064fa48cc54ca8b978c90f6f47baac,Hilton - austin,0,1,2023-03-09 12:29:34.575,2023-03-10 11:00:00,136,0 days 22:30:25.425000,0
486671-6247820b1e6b465eb6a2180110804f3b,Wyndham - baltimore,0,3,2023-06-21 12:59:03.255,2023-06-22 11:00:00,127,0 days 22:00:56.745000,0
487036-44fa47f3ab2645bc96a02a0dcfd9bdb8,Fairmont - fresno,0,1,2023-04-12 18:04:16.590,2023-04-13 11:00:00,144,0 days 16:55:43.410000,0
487637-21014b456aa640c1be8a7c254d1ee4d7,Wyndham - toronto,0,1,2023-01-18 14:46:07.995,2023-01-19 11:00:00,227,0 days 20:13:52.005000,0
488410-05f3434efa554b1089db0447f48e17a4,Best Western - memphis,0,1,2023-05-05 17:56:12.885,2023-05-06 11:00:00,58,0 days 17:03:47.115000,0
488462-8125093369e44fd6ae75f4c7a08436ce,Banyan Tree  - new york,0,1,2023-02-01 09:42:43.830,2023-02-01 11:00:00,125,0 days 01:17:16.170000,0
488462-96b85461816d4eeaad43e2e5750088b3,Accor - san diego,0,1,2023-06-19 13:21:31.545,2023-06-20 11:00:00,95,0 days 21:38:28.455000,0
488827-9b5433ef45a0465987afdf9580563a76,Fairmont - austin,0,2,2023-05-18 11:09:26.370,2023-05-18 11:00:00,64,-1 days +23:50:33.630000,-1
488865-54407af20a9d4a97870089289deb463a,Starwood  - new york,0,1,2023-07-06 09:43:38.550,2023-07-06 11:00:00,107,0 days 01:16:21.450000,0
489575-42d17ec1548d4737b9261c3b5d81f100,Four Seasons - el paso,0,1,2023-05-29 18:17:35.520,2023-05-30 11:00:00,118,0 days 16:42:24.480000,0
489992-d31bcd96b4784acebf527414494baadf,Crowne Plaza - el paso,0,3,2023-07-19 19:32:52.080,2023-07-20 11:00:00,402,0 days 15:27:07.920000,0
490629-a665c40e82c0472c9ebe27b8ca91ec76,Hilton - toronto,-1,1,2023-01-19 09:42:32.580,2023-01-18 11:00:00,241,-1 days +01:17:27.420000,-1
490671-6435433cfd0943dfa67760d1e0bbff43,InterContinental  - fort worth,0,1,2023-04-05 19:33:55.890,2023-04-06 11:00:00,217,0 days 15:26:04.110000,0
491182-ea6fe674f032458d8ed0a476e0e8a979,Wyndham - quebec,0,1,2023-06-19 11:17:27.015,2023-06-19 11:00:00,335,-1 days +23:42:32.985000,-1
491617-c7625a825d3e46aa9fcef073aec0eb99,Conrad  - los angeles,0,1,2023-04-02 13:19:53.175,2023-04-03 11:00:00,80,0 days 21:40:06.825000,0
491772-8c3a35beb52c4848b2cbfc4afb30cce5,Starwood  - new york,0,1,2023-02-15 22:05:47.580,2023-02-16 11:00:00,111,0 days 12:54:12.420000,0
493409-437b41e83fd9464bba77b4074b3d1219,Four Seasons - chicago,0,2,2023-06-04 15:47:43.710,2023-06-05 11:00:00,135,0 days 19:12:16.290000,0
494704-16ae9345505e49c9b09f937a6614e22c,Shangri-La - dallas,0,1,2023-02-19 12:18:46.935,2023-02-20 11:00:00,202,0 days 22:41:13.065000,0
496016-d8cfe450a3c24e8c93ee42384d9f6ed3,Extended Stay  - houston,0,1,2023-02-14 12:51:43.200,2023-02-15 11:00:00,96,0 days 22:08:16.800000,0
496016-fcabc2b3a51c468396d056c2c4f10366,Rosewood - philadelphia,0,1,2023-03-24 12:11:17.745,2023-03-25 11:00:00,91,0 days 22:48:42.255000,0
497108-365f42cdf6bb4be798b9083ed588653b,Starwood  - san antonio,0,1,2023-01-26 12:38:02.265,2023-01-27 11:00:00,176,0 days 22:21:57.735000,0
497108-ebfdee3fa7fe464894d5a392d7dfa422,InterContinental  - baltimore,0,1,2023-01-14 18:10:46.470,2023-01-15 11:00:00,338,0 days 16:49:13.530000,0
498287-26fc5c667ba847fa874696918b52accc,Radisson  - vancouver,0,1,2023-01-15 11:36:39.690,2023-01-15 11:00:00,149,-1 days +23:23:20.310000,-1
498287-8304a83760cb4dbe9ccf6be20a9bed16,Fairmont - san diego,0,1,2023-03-01 09:54:01.710,2023-03-01 11:00:00,125,0 days 01:05:58.290000,0
498287-ff4e68800f3d465489e92ba9295b7401,Crowne Plaza - oklahoma city,0,1,2023-05-26 11:46:36.930,2023-05-26 11:00:00,184,-1 days +23:13:23.070000,-1
498363-9e2b9b11547049dc98172a9db9961161,Marriott  - detroit,0,2,2023-04-08 12:12:30.915,2023-04-09 11:00:00,77,0 days 22:47:29.085000,0
498665-edfd44713827465f9682087586fb6a31,Marriott  - chicago,0,1,2023-04-01 10:31:46.245,2023-04-01 11:00:00,91,0 days 00:28:13.755000,0
498931-728bba45ad0b4c61a432f880a6b4c889,Starwood  - chicago,0,1,2023-01-21 12:13:32.475,2023-01-22 11:00:00,83,0 days 22:46:27.525000,0
499379-5b841dc5f5444ca5bba61ec76df72410,Rosewood - indianapolis,0,1,2023-06-18 14:33:48.870,2023-06-19 11:00:00,147,0 days 20:26:11.130000,0
499751-f8130f5ea60b476aa29972b340382477,Rosewood - el paso,0,1,2023-07-27 11:58:46.245,2023-07-27 11:00:00,289,-1 days +23:01:13.755000,-1
500773-8fba3a910161467a84a78b74bb9d46c8,Marriott  - new york,0,1,2023-01-30 11:36:54.765,2023-01-30 11:00:00,121,-1 days +23:23:05.235000,-1
500972-3e73066eb0004183a3d99feb0f0acd12,Extended Stay  - winnipeg,0,2,2023-02-27 16:42:15.750,2023-02-28 11:00:00,218,0 days 18:17:44.250000,0
500974-8e81ae6ba3544ed6bf519a342f5ac9b8,Marriott  - philadelphia,0,1,2023-01-26 14:01:28.335,2023-01-27 11:00:00,155,0 days 20:58:31.665000,0
501322-d8d9a1f7c3dc407eb5442d4856110544,Wyndham - ottawa,0,1,2023-01-26 22:46:36.255,2023-01-27 11:00:00,113,0 days 12:13:23.745000,0
501436-95975b483f8641c69a3b48c4262955e3,Fairmont - chicago,0,1,2023-01-18 09:34:04.035,2023-01-18 11:00:00,164,0 days 01:25:55.965000,0
501512-bc7383aff5224305988d7b941a59d5e7,Rosewood - new york,-1,1,2023-01-28 14:49:54.570,2023-01-28 11:00:00,204,-1 days +20:10:05.430000,-1
501735-5d4cd12908bd4709958ce30ec7a2d6fa,Extended Stay  - winnipeg,0,1,2023-03-03 12:36:20.070,2023-03-04 11:00:00,73,0 days 22:23:39.930000,0
501817-9c71a536c0b541f9a6e0352126f39983,Radisson  - toronto,0,1,2023-06-04 13:26:27.825,2023-06-05 11:00:00,50,0 days 21:33:32.175000,0
501947-bd52e9f6e5d8480488e51a22872e77a0,NH Hotel  - chicago,0,1,2023-02-18 09:54:05.085,2023-02-18 11:00:00,144,0 days 01:05:54.915000,0
502210-f0567e840a5840569d32e8b872f56442,Extended Stay  - new york,0,1,2023-01-24 13:42:03.690,2023-01-25 11:00:00,187,0 days 21:17:56.310000,0
502435-bd5878b24c6c4fa9947794dfdfcb8b9d,Wyndham - chicago,0,2,2023-01-21 10:22:09.525,2023-01-21 11:00:00,87,0 days 00:37:50.475000,0
502444-57ea530e2f7d44f2af7bcf2997ddce45,Conrad  - indianapolis,-1,1,2023-06-01 11:20:12.480,2023-05-31 11:00:00,362,-2 days +23:39:47.520000,-2
502609-ad46de897f134357a1851f1a5c127f79,Marriott  - oklahoma city,0,1,2023-02-17 15:21:51.165,2023-02-18 11:00:00,304,0 days 19:38:08.835000,0
502826-e9f3125509ad4b64a2c4068d41879165,Choice Hotels - las vegas,0,1,2023-06-24 12:28:30.090,2023-06-25 11:00:00,167,0 days 22:31:29.910000,0
503058-a9881731940b4211a83f66550b062982,Rosewood - montreal,0,1,2023-02-07 18:43:48.090,2023-02-08 11:00:00,179,0 days 16:16:11.910000,0
503418-5c80837dcaf644aa907625b21483ec41,Marriott  - chicago,0,1,2023-03-07 10:27:17.775,2023-03-07 11:00:00,90,0 days 00:32:42.225000,0
504299-9a02959127504f51b9abfbe6e8bc3966,Extended Stay  - los angeles,0,1,2023-06-21 13:31:32.970,2023-06-22 11:00:00,138,0 days 21:28:27.030000,0
504320-3079c7f1d3e34a4ebe83f05fa5302c01,Wyndham - philadelphia,0,1,2023-02-03 14:10:47.460,2023-02-04 11:00:00,125,0 days 20:49:12.540000,0
504435-7e22d9f0aca040408987752a2b594c9c,Four Seasons - toronto,-1,1,2023-06-17 13:22:43.140,2023-06-17 11:00:00,355,-1 days +21:37:16.860000,-1
504936-4de22c9efa0840b2b1469f5c92019611,NH Hotel  - new york,-1,2,2023-06-12 11:50:51.360,2023-06-11 11:00:00,156,-2 days +23:09:08.640000,-2
505172-0e9c5058b4ba440994fea71534097655,Hilton - phoenix,0,1,2023-02-05 21:38:32.055,2023-02-06 11:00:00,168,0 days 13:21:27.945000,0
505285-81a87d444bf14bb4af086969559f186f,Aman Resorts - san antonio,0,1,2023-05-01 20:10:05.205,2023-05-02 11:00:00,198,0 days 14:49:54.795000,0
505771-5e21117bdbf1419eb632c0918be907a3,Hilton - boston,-1,2,2023-04-20 09:30:39.555,2023-04-19 11:00:00,289,-1 days +01:29:20.445000,-1
505771-99afc81ac50c4d57b0f582a3435984d4,Wyndham - phoenix,0,1,2023-01-17 13:24:44.100,2023-01-18 11:00:00,122,0 days 21:35:15.900000,0
506130-d00974e22e974327a65c6b2651e5a92f,Four Seasons - new york,0,1,2023-03-03 16:19:20.055,2023-03-04 11:00:00,476,0 days 18:40:39.945000,0
